N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,강원랜드,"23,900",100,+0.42%,500,"51,132","213,940",22.22,"373,484",-26.91,9.16,
60,LG이노텍,"212,500",500,+0.24%,"5,000","50,293","23,667",31.34,"157,871",38.52,4.73,
61,SK케미칼,"428,000","15,000",-3.39%,"5,000","50,253","11,741",21.96,"343,940",19.53,1.51,
62,SKC,"129,500","2,500",-1.89%,"5,000","49,039","37,868",8.07,"369,930",57.48,3.86,
63,오리온,"120,000","1,500",+1.27%,500,"47,443","39,536",42.02,"66,204",17.33,14.24,
64,한국금융지주,"84,900","1,500",+1.80%,"5,000","47,311","55,726",30.12,"290,472",7.77,18.14,
65,현대건설,"42,200",950,-2.20%,"5,000","46,992","111,356",18.67,"878,135",20.58,6.30,
66,이마트,"168,000","1,000",-0.59%,"5,000","46,831","27,876",31.44,"112,905",8.39,2.76,
67,유한양행,"66,400",900,+1.37%,"1,000","46,462","69,973",19.93,"249,674",25.58,2.43,
68,HMM,"13,950",250,+1.82%,"5,000","45,742","327,902",6.62,"2,822,221",-45.00,-55.46,
69,두산중공업,"12,000",450,+3.90%,"5,000","44,956","374,637",10.65,"4,026,401",-2.59,-14.73,
70,한미약품,"370,000","1,500",-0.40%,"2,500","44,690","12,078",14.02,"46,109","-3,592.23",7.30,
71,신풍제약,"79,500","2,300",-2.81%,500,"42,123","52,985",11.50,"1,555,683",779.41,2.57,
72,CJ대한통운,"183,500","5,000",-2.65%,"5,000","41,861","22,812",21.79,"77,457",33.08,1.41,
73,현대차2우B,"112,500","1,500",-1.32%,"5,000","41,046","36,485",61.14,"112,039",26.88,N/A,
74,현대중공업지주,"257,000","9,500",+3.84%,"5,000","40,602","15,799",17.70,"67,026",-77.86,2.20,
75,한진칼,"61,000",100,-0.16%,"2,500","40,420","66,263",15.44,"40,226",-10.06,-17.56,
76,맥쿼리인프라,"10,850",0,0.00%,0,"40,383","372,192",14.20,"281,667",N/A,N/A,
77,두산퓨얼셀,"60,700",200,-0.33%,100,"39,755","65,494",19.62,"1,155,888",178.01,N/A,
78,삼성중공업,"6,220",50,+0.81%,"5,000","39,186","630,000",14.99,"3,420,384",-3.14,-21.88,
79,한국항공우주,"39,400",200,+0.51%,"5,000","38,405","97,475",14.21,"4,362,649",29.01,15.84,
80,키움증권,"149,500",0,0.00%,"5,000","38,337","25,644",22.62,"175,429",6.60,16.97,
81,LG화학우,"496,000","6,000",+1.22%,"5,000","38,136","7,689",63.98,"48,892",46.34,N/A,
82,동서,"37,800","3,650",+10.69%,500,"37,687","99,700",4.22,"1,475,348",27.25,10.53,
83,삼성카드,"31,550",800,+2.60%,"5,000","36,553","115,859",10.71,"95,496",8.87,5.04,
84,일진머티리얼즈,"76,100","1,400",-1.81%,500,"35,090","46,111",8.74,"1,789,022",78.94,8.52,
85,GS,"37,600",100,+0.27%,"5,000","34,936","92,915",19.10,"231,240",-40.78,6.26,
86,롯데지주,"33,250",100,+0.30%,200,"34,882","104,909",11.26,"77,586",-4.86,-5.21,
87,삼성증권,"38,850",600,+1.57%,"5,000","34,693","89,300",25.94,"321,129",7.38,8.15,
88,만도,"72,700","3,100",-4.09%,"1,000","34,138","46,957",25.31,"992,935",-61.56,7.55,
89,쌍용양회,"6,720",10,+0.15%,100,"33,859","503,860",2.85,"1,280,773",26.99,7.02,
90,NH투자증권,"11,850",100,+0.85%,"5,000","33,347","281,409",15.36,"989,885",5.76,9.12,
91,더존비즈온,"110,500",500,+0.45%,500,"33,294","30,130",45.79,"112,405",68.68,18.78,
92,TIGER 200,"42,580",305,+0.72%,0,"33,042","77,600",0.87,"802,279",N/A,N/A,
